file|matched_term|current_wording|page_section_or_context|proposed_neutral_wording|risk_classification
lib/calculators/page-configs.ts|suitable for|"question: \"Is this investment suitable for retirees?\","|line 2989|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"\"It may be suitable for some retirees and unsuitable for others. Suitability depends on income needs, horizon, liquidity, tax, risk tolerance and the rest of your Retirement Gap. Advice is required.\","|line 2991|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"\"The journey is: Can I afford to retire? How much income can my capital generate? Which income strategy best fits my objectives? Then develop a personalised strategy in a Retirement Gap Review.\","|line 3073|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"\"I have voluntary capital to invest for income over the next five years. Which income strategy best aligns with my objectives?\","|line 3077|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"body: \"This calculator is the decision point within the Retirement Gap Method™: after you know your gap and can estimate income, choose which income strategy best fits your objectives, then book a Retirement Gap Review for advice.\","|line 3249|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"\"Which investment strategy best matches my retirement objective? That is the only question this page exists to illuminate.\","|line 3668|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"highlightQuestion: \"Which investment strategy best matches my retirement objective?\","|line 3670|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"intro: \"Suitable for visitors who:\","|line 3674|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"\"This tool compares retirement income approaches and income versus growth, it does not identify a best product or provide financial advice.\","|line 3716|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"\"Higher income today often means sacrificing future growth. Investors who do not currently need income may benefit from allowing capital to compound. Retirement planning is about balancing income needs, liquidity requirements and long-term "|line 3722|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"\"Suitable for investors seeking dependable income together with additional long-term value through the five-year loyalty bonus.\","|line 3734|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"\"Suitable for investors whose highest priority is maximising current income, even if long-term capital growth is not the primary objective.\","|line 3739|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"\"Suitable for investors who do not require current income and are comfortable leaving their investment untouched for the full five-year term to maximise capital growth.\","|line 3744|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|ideal|"\"Use this as educational guidance only. The same strategy may be ideal for one person and entirely inappropriate for another.\","|line 3752|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|ideal|"\"The same investment may be ideal for one person and entirely inappropriate for another. By comparing different strategies first, you can better understand the trade-offs between current income, future growth and capital preservation before"|line 3778|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|dependable income|"\"12.8% Income: dependable income plus potential loyalty value. 14.2% Income: maximise current income. 14.5% Growth: no current income need and a five-year growth horizon. These are educational profiles only.\","|line 3898|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"intro: \"Suitable for visitors who:\","|line 3985|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"\"This calculator is suitable for anyone who wants to understand how the timing of financial decisions can affect long-term outcomes. It is particularly useful for people considering:\","|line 4546|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/crm/ai/crm-agent-mutations.ts|best|"return `Review ${lead.name} and assign to the best-fit advisor from the roster.`;"|line 296|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/everest-product-configs.ts|maximum cash flow|"\"Higher targeted monthly income from day one, with no five-year loyalty bonus, suited when maximum cash flow now matters more than deferred capital rewards.\","|line 65|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/everest-product-configs.ts|suitable for|"\"Onyx prioritises immediate income over deferred capital bonuses. Suitable for retirees and income-dependent investors who need maximum liquidity now.\","|line 83|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/everest-product-configs.ts|ideal|"\"Returns compound with no monthly withdrawals and are illustrated at the end of the five-year term, ideal when you do not need income during the lock-in period.\","|line 115|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/problem-messaging.ts|best|"/** Plain-language problem → best entry URL */"|line 19|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/seo-metadata.ts|ideal|"/** Clamp meta description, ideal 150–160 chars; hard max ~300 tokens (~1200 chars). */"|line 42|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/seo-metadata.ts|ideal|"options: { ideal?: number; max?: number; min?: number } = {}"|line 45|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/seo-metadata.ts|ideal|"const ideal = options.ideal ?? META_DESCRIPTION_IDEAL;"|line 47|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/seo-metadata.ts|ideal|"if (text.length <= ideal) return text;"|line 54|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/seo-metadata.ts|ideal|"const slice = text.slice(0, ideal);"|line 55|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/seo-metadata.ts|ideal|"description: clampMetaDescription(description, { ideal: 120 }),"|line 72|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
